ID,Name,Address,Built-up Size (ft),Type,Room,Bathroom,Facilities,Rental (RM),Contact
611688,Liu Li Villa,Setia Eco Glades Cyberjaya 63000 Selangor,2930,Double storey terrace,3+1,4,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Playground-Swimming Pool,3500,60165315011
318561,Cyberia Smart Homes,Persiaran Multimedia Cyberjaya 63000 Selangor,300,Condominium,1,1,24-Hours Security-Gymnasium,350,60168538585
447895,The Arc,Persiaran Bestari Cyberjaya 63000 Selangor,950,Serviced Residence,3,2,24-Hours Security-Parking-Mini Market-Swimming Pool-Cafeteria,1000,60162805033
164059,Domain 3 @ NeoCyber,Lingkaran Cyber Point Barat Cyberjaya 63000 Selangor,601,Serviced Residence,1,2,24-Hours Security-Swimming Pool-Gymnasium-Mini Market-Parking,800,60182189190
743124,Mirage By The Lake,Jalan Mirage 3 Cyberjaya 63000 Selangor,1496,Condominium,3,4,Sauna-Badminton Court-Gymnasium-Swimming Ppool-BBQ-Multipurpose Hall-Playground,3500,60129628904
626753,Gardenview Residences,Lingkaran Cyber Point Barat Off Persiaran Ceria Cyberjaya 63000 Selangor,1066,Condominium,3,2,24-Hours Security-Parking-BBQ-Gymnasium-Jogging Track-Tennis Court-Nursery,1500,60162445851
362381,Domain 4 @ NeoCyber,Lingkaran Cyber Point Barat Cyberjaya 63000 Selangor,601,Serviced Residence,1,2,Swimming Pool-24-Hours Security-Gymnasium-Mini Market-Parking,850,60182189190
233669,Domain 2 @ NeoCyber,Lingkaran Cyber Point Barat Cyberjaya 63000 Selangor,601,Serviced Residence,1,2,Swimming Pool-24-Hours Security-Gymnasium-Mini Market-Parking,800,60182189190
545191,ZINNIA @ Maple Residence,Laman View Cyber 9 63000 Cyberjaya Selangor,2133,Double storey terrace,4+1,4,Gymnasium-24 Hours Security-Swimming Pool-Jacuzzi-BBQ-Playground-Basketball Court-Library-Multipurpose Hall,3000,60162336932
470835,Jewel of Grasmere,Setia Eco Glades Jewel of Grasmere 63000 Selangor,1760,Double storey terrace,3,4,Club House-Gymnasium-Swimming Pool-Cafeteria-Playground-Multipurpose Hall,4100,60182139009
777522,Lepironia Gardens,Jalan Fauna Lepironia Gardens Setia Ecoglades Cyberjaya 63000 Selangor,3210,3 Storey Terrace,5+1,6,Gymnasium-Swimming Pool-Wading Pool-Basketball Court-Badminton Court-Playground-Jogging Track-Tennis Court,4500,60183740266
578790,Mozart Symphony Hills,Jalan Fauna Cyberjaya 63000 Selangor,3224,3 Storey Terrace,4,4,24-Hours Security-Parking-Gymnasium-Jogging Track-Playground-Swimming Pool,2800,60173397811
290643,Jacaranda Garden Residence,Garden Residence 63100 Selangor,4541,Bungalow,6,6,24-Hours Security-Parking-BBQ-Club House-Gymnasium-Jogging Track-Playground-Swimming Pool,8500,60169283184
843070,Lakefront Villa,Lakefront Villa Cyberjaya 63000 Selangor,4643,Bungalow,4+1,5,24-Hours Security-Club House-Jogging Track,5000,61026819860
145141,Astonia II Sejati Residence,Persiaran Bestari Cyber 9 63000 Cyberjaya Selangor,5950,Bungalow,5+1,7,24-Hours Security-Parking-Club House-Gymnasium-Jogging Track-Playground-Swimming Pool-Sauna,12000,60182626280
310304,Mutiara Ville,Persiaran Sepang Off Persiaran Multimedia Cyberjaya 63000 Selangor,975,Condominium,3,2,24-Hours Security-Parking-BBQ-Club House-Mini Market-Gymnasium-Jogging Track-Playground-Swimming Pool-Nursery-Business Centre-Salon,1100,60102356385
878126,Shaftsbury Residence,Jalan Impact Cyberjaya 63000 Selangor,639,Condominium,1,1,24-Hours Security-Swimming Pool-Wading Pool-Sauna-Tennis Court-Gymnasium-Launderette-Playground-Cafeteria-Business Centre,1300,60138358319
987088,Cyber Heights Villa,Jalan Cyber Heights Cyberjaya 63000 Selangor,1219,Condominium,3+1,2,Parking-Playground,1600,60192285001
201277,Cyberia Smart Homes,Persiaran Multimedia Cyberjaya 63000 Selangor,300,Condominium,1,1,24-Hours Security-Gymnasium,300,60127382930
